Time,0,1,2,3,4
0,0,0,0,0,0
1,6.573878597936904,6.573878597936904,6.573878597936904,6.573878597936904,10.844773121821925
2,13.026108532140281,16.141646854226753,16.141646854226753,16.141646854226753,19.478338466343658
3,20.17709469946089,24.304557936466992,24.304557936466992,25.781580947564258,27.3280808667815
4,28.69152672593612,32.528577663775934,32.528577663775934,36.08888107152553,36.08888107152553
5,36.60940234053365,42.31026632131785,42.65484567445972,42.862603525902095,44.527277955131176
6,43.25629860090755,49.68628694438858,49.68628694438858,49.68628694438858,57.83475635546673
7,52.630086579590696,56.55240809341535,58.093632606903626,60.37862265064964,66.50097826941868
8,60.048738945395776,65.77002485721879,67.46739131120086,71.14867541219279,77.27998346426274
9,67.52092455089775,74.99311015639972,74.99311015639972,80.44676382661443,86.31791382437262
10,74.36248713744217,84.33630405040529,86.44733895336127,89.81146685984929,97.2299414937923
11,82.63076213914664,96.06042811201667,96.06042811201667,100.81467078723871,110.95311512717664
12,90.95743703870227,107.10732764025899,107.6776132958281,108.7296143462898,122.91858611650488
13,97.9449993698746,115.84459059712536,117.42649944352506,119.09120681010386,134.030147497788
14,107.09209695640403,125.4389387515352,126.26160562152103,127.91977152621762,144.27671406481133
15,115.59397154951313,136.30457739228385,137.61754765351859,137.61754765351859,153.64720061136026
16,124.8676022480534,147.5701292847779,147.5701292847779,149.00933685731846,166.84347822003122
17,132.76805377113052,158.592657423136,158.592657423136,160.47884311640044,176.34069073344926
18,142.8913071055702,166.7972427688144,172.0260664307645,172.0260664307645,188.2953454218316
19,152.35473747212674,175.87984283373666,182.78938689411382,182.8206539168645,196.32054124515966
20,162.61425723488577,181.27570927304356,193.68740724001216,193.68740724001216,206.82534965588124
21,169.99115221839915,188.80111035563155,205.4677817202225,205.4677817202225,219.02942148409284
22,180.38693840947755,202.26331925592274,213.0908405644676,213.0908405644676,229.67833757560467
23,190.10343500005578,212.4227644962422,222.46897588579046,222.46897588579046,239.57461751274957
24,199.1309086738253,222.64499830166272,230.1919566582554,230.1919566582554,247.87694349144348
25,208.97393837641437,232.93002067218433,238.82855858778305,238.82855858778305,259.57779630511743
26,219.64225742413151,240.6908788739013,248.4517370756183,248.4517370756183,269.67360995412577
27,227.31115189690067,254.57167820819961,256.324600740413,256.324600740413,278.98907443323054
28,237.343981267506,267.7686807599419,267.7686807599419,267.7686807599419,289.21791055681445
29,246.6634544305313,275.7414663529564,275.7414663529564,275.7414663529564,302.08709475790414
30,255.25983806966804,288.2212943307056,288.2212943307056,288.2212943307056,310.7219769230371
31,263.9097549485017,296.2940018519399,296.2940018519399,296.2940018519399,321.1503467584845
32,274.98687328117694,304.4166703372842,304.4166703372842,304.4166703372842,334.2689480994034
33,283.7438566394044,313.4973697255666,322.49042377287935,313.4973697255666,344.83034040942636
34,292.5543732373287,324.34748918199784,335.1976086384291,329.07978170367807,356.3439025856797
35,303.030068499972,337.07921520711886,347.6823292700782,344.7399107370716,368.82071983437805
36,311.9476515772901,350.7988359404105,363.667031602688,355.1846293789075,377.78815818595007
37,322.5498799519442,364.59694238007853,376.3011289222828,367.78490636792384,386.8110225685952
38,331.5745295086561,377.54842838305325,390.165258737084,381.5073722764058,399.5206291478009
39,343.1285803404491,392.4338447589687,402.9487327446246,394.2408785030486,409.5677172370715
40,354.75076438640184,405.97432261138323,413.46904739586284,405.97432261138323,421.5136024556956
41,364.77103632364106,414.4415521704872,422.9087817295912,418.8410580756524,435.3804552161024
42,373.16992951954967,427.686051477267,439.4638314161756,430.6966289851446,446.54044866171563
43,381.61748929700093,437.1987319292177,453.73535219810145,441.529932903391,455.8958692307998
44,390.11371565599484,452.5027387391402,465.69618467756044,453.5076306140408,466.2478004909729
45,400.3675871846387,462.1200667995927,480.44720943781874,465.54639172526936,480.44720943781874
46,409.82050265892576,474.69061422370703,494.7297574312743,478.74620028360465,494.7297574312743
47,418.46272876254756,486.35698502645215,500,489.8015529312284,500
48,430.62997852177773,495.1538545523368,500,499.8013312781997,500
49,440.2434937151555,500,500,500,500
50,449.0317195634052,500,500,500,500
51,459.63599047915596,500,500,500,500
52,470.2986612927579,500,500,500,500
53,480.12630944492327,500,500,500,500
54,492.7023584891116,500,500,500,500
55,500,500,500,500,500
