time,odds,competitor
0.060797929763793945,20.0,0
0.060797929763793945,1.5666666666666667,1
0.060797929763793945,20.0,2
0.060797929763793945,4.9,3
0.060797929763793945,2.1999999999999997,4
0.07704973220825195,20.0,0
0.07704973220825195,1.4666666666666666,1
0.07704973220825195,2.4,2
0.07704973220825195,4.9,3
0.07704973220825195,2.1999999999999997,4
0.09477353096008301,4.962177149664986,0
0.09477353096008301,1.4666666666666666,1
0.09477353096008301,2.4,2
0.09477353096008301,4.9,3
0.09477353096008301,2.1999999999999997,4
0.12280964851379395,4.962177149664986,0
0.12280964851379395,1.4666666666666666,1
0.12280964851379395,2.4,2
0.12280964851379395,4.9,3
0.12280964851379395,2.1999999999999997,4
0.1405167579650879,4.962177149664986,0
0.1405167579650879,1.4666666666666666,1
0.1405167579650879,4.9,2
0.1405167579650879,4.9,3
0.1405167579650879,2.1999999999999997,4
0.15854477882385254,4.962177149664986,0
0.15854477882385254,1.4666666666666666,1
0.15854477882385254,4.9,2
0.15854477882385254,4.9,3
0.15854477882385254,2.1999999999999997,4
0.17412710189819336,3.962177149664986,0
0.17412710189819336,1.4666666666666666,1
0.17412710189819336,4.9,2
0.17412710189819336,4.9,3
0.17412710189819336,2.1999999999999997,4
0.18654894828796387,3.962177149664986,0
0.18654894828796387,1.4666666666666666,1
0.18654894828796387,4.9,2
0.18654894828796387,4.9,3
0.18654894828796387,2.1999999999999997,4
0.20292067527770996,3.962177149664986,0
0.20292067527770996,1.4666666666666666,1
0.20292067527770996,4.9,2
0.20292067527770996,4.9,3
0.20292067527770996,2.1999999999999997,4
0.21475672721862793,3.962177149664986,0
0.21475672721862793,1.4666666666666666,1
0.21475672721862793,4.9,2
0.21475672721862793,4.9,3
0.21475672721862793,2.1999999999999997,4
0.2273845672607422,3.962177149664986,0
0.2273845672607422,1.4666666666666666,1
0.2273845672607422,4.9,2
0.2273845672607422,4.9,3
0.2273845672607422,2.1999999999999997,4
0.24312591552734375,3.962177149664986,0
0.24312591552734375,1.4666666666666666,1
0.24312591552734375,4.962177149664986,2
0.24312591552734375,4.9,3
0.24312591552734375,2.1999999999999997,4
0.254528284072876,3.962177149664986,0
0.254528284072876,1.4666666666666666,1
0.254528284072876,4.962177149664986,2
0.254528284072876,4.9,3
0.254528284072876,2.1999999999999997,4
0.2759113311767578,3.962177149664986,0
0.2759113311767578,1.4666666666666666,1
0.2759113311767578,4.962177149664986,2
0.2759113311767578,4.9,3
0.2759113311767578,2.1999999999999997,4
0.2942221164703369,3.962177149664986,0
0.2942221164703369,1.4666666666666666,1
0.2942221164703369,4.962177149664986,2
0.2942221164703369,4.9,3
0.2942221164703369,2.1999999999999997,4
