type,competitorID,time,exchange,odds,agentID,stake,distance,rank,balance,decision
Trade,0,0.5108397006988525,0,3.962177149664986,2,15,0.0,1,99999520,backer
Trade,0,0.5108397006988525,0,3.962177149664986,7,15,0.0,1,99999535,layer
Trade,0,0.5260779857635498,0,3.962177149664986,7,15,0.0,1,99999535,backer
Trade,0,0.5260779857635498,0,3.962177149664986,51,15,0.0,1,100001356.353583,layer
Trade,0,0.5593504905700684,0,3.962177149664986,1,15,0.0,1,99999475,backer
Trade,0,0.5593504905700684,0,3.962177149664986,2,15,0.0,1,99999520,layer
Trade,0,0.769744873046875,0,2.962177149664986,7,15,0.0,1,99999535,backer
Trade,0,0.769744873046875,0,2.962177149664986,1,15,0.0,1,99999475,layer
Trade,0,0.8542304039001465,0,2.962177149664986,2,15,0.0,1,99999520,backer
Trade,0,0.8542304039001465,0,2.962177149664986,6,15,0.0,1,99999520,layer
Trade,0,0.8732125759124756,0,2.962177149664986,2,15,0.0,1,99999520,backer
Trade,0,0.8732125759124756,0,2.962177149664986,7,15,0.0,1,99999535,layer
Trade,0,1.055346965789795,0,3.962177149664986,6,15,0.0,1,99999520,backer
Trade,0,1.055346965789795,0,3.962177149664986,7,15,0.0,1,99999535,layer
Trade,0,1.14682936668396,0,4.962177149664986,53,15,0.0,1,100000429.97866799,backer
Trade,0,1.14682936668396,0,4.962177149664986,6,15,0.0,1,99999520,layer
Trade,0,1.43280029296875,0,3.962177149664986,1,15,6.573878597936904,2,99999475,backer
Trade,0,1.43280029296875,0,3.962177149664986,2,15,6.573878597936904,2,99999520,layer
Trade,0,1.4511134624481201,0,2.962177149664986,6,15,6.573878597936904,2,99999520,backer
Trade,0,1.4511134624481201,0,2.962177149664986,1,15,6.573878597936904,2,99999475,layer
Trade,0,1.5066299438476562,0,4.96241286479138,53,15,6.573878597936904,2,100000429.97866799,backer
Trade,0,1.5066299438476562,0,4.96241286479138,7,15,6.573878597936904,2,99999535,layer
Trade,0,1.674332857131958,0,3.9624128647913803,2,15,6.573878597936904,2,99999520,backer
Trade,0,1.674332857131958,0,3.9624128647913803,1,15,6.573878597936904,2,99999475,layer
Trade,0,2.286621332168579,0,3.9624128647913803,7,15,13.026108532140281,5,99999535,backer
Trade,0,2.286621332168579,0,3.9624128647913803,2,15,13.026108532140281,5,99999520,layer
Trade,0,2.4287943840026855,0,3.9624128647913803,1,15,13.026108532140281,5,99999475,backer
Trade,0,2.4287943840026855,0,3.9624128647913803,6,15,13.026108532140281,5,99999520,layer
Trade,0,2.5658161640167236,0,4.96241286479138,53,15,13.026108532140281,5,100000429.97866799,backer
Trade,0,2.5658161640167236,0,4.96241286479138,7,15,13.026108532140281,5,99999535,layer
Trade,0,2.8903729915618896,0,3.9624128647913803,1,15,13.026108532140281,5,99999475,backer
Trade,0,2.8903729915618896,0,3.9624128647913803,6,15,13.026108532140281,5,99999520,layer
Trade,0,2.8907217979431152,0,3.9624128647913803,6,15,13.026108532140281,5,99999520,backer
Trade,0,2.8907217979431152,0,3.9624128647913803,51,15,13.026108532140281,5,100001356.353583,layer
Trade,0,2.8913776874542236,0,3.9624128647913803,1,15,13.026108532140281,5,99999475,backer
Trade,0,2.8913776874542236,0,3.9624128647913803,2,15,13.026108532140281,5,99999520,layer
Trade,0,2.969956398010254,0,1.1,1,15,13.026108532140281,5,99999475,backer
Trade,0,2.969956398010254,0,1.1,51,15,13.026108532140281,5,100001356.353583,layer
Trade,0,5.761941432952881,0,4.447480778263969,54,15,36.60940234053365,5,100000565.49981762,backer
Trade,0,5.761941432952881,0,4.447480778263969,1,15,36.60940234053365,5,99999475,layer
Trade,0,7.6415746212005615,0,5.447480778263969,7,15,52.630086579590696,5,99999535,backer
Trade,0,7.6415746212005615,0,5.447480778263969,56,15,52.630086579590696,5,100001604.83524592,layer
Trade,0,7.683057069778442,0,5.447480778263969,1,15,52.630086579590696,5,99999475,backer
Trade,0,7.683057069778442,0,5.447480778263969,55,15,52.630086579590696,5,100001623.68832247,layer
Trade,0,7.766763925552368,0,5.447480778263969,1,15,52.630086579590696,5,99999475,backer
Trade,0,7.766763925552368,0,5.447480778263969,56,15,52.630086579590696,5,100001604.83524592,layer
Trade,0,7.976597785949707,0,5.447480778263969,2,15,52.630086579590696,5,99999520,backer
Trade,0,7.976597785949707,0,5.447480778263969,55,15,52.630086579590696,5,100001623.68832247,layer
Trade,0,8.446935176849365,0,2.6244200924045327,50,15,60.048738945395776,5,100001647.71294157,backer
Trade,0,8.446935176849365,0,2.6244200924045327,1,15,60.048738945395776,5,99999475,layer
Trade,0,9.484128475189209,0,3.6244200924045327,6,15,67.52092455089775,5,99999520,backer
Trade,0,9.484128475189209,0,3.6244200924045327,56,15,67.52092455089775,5,100001604.83524592,layer
Trade,0,9.92742395401001,0,5.447480778263969,1,15,67.52092455089775,5,99999475,backer
Trade,0,9.92742395401001,0,5.447480778263969,56,15,67.52092455089775,5,100001604.83524592,layer
Trade,0,10.030581712722778,0,5.447480778263969,7,15,67.52092455089775,5,99999535,backer
Trade,0,10.030581712722778,0,5.447480778263969,55,15,67.52092455089775,5,100001623.68832247,layer
Trade,0,11.733200073242188,0,5.447480778263969,2,15,82.63076213914664,5,99999520,backer
Trade,0,11.733200073242188,0,5.447480778263969,55,15,82.63076213914664,5,100001623.68832247,layer
Trade,0,11.795162200927734,0,5.447480778263969,1,15,82.63076213914664,5,99999475,backer
Trade,0,11.795162200927734,0,5.447480778263969,56,15,82.63076213914664,5,100001604.83524592,layer
